Index,Value,Cl-,Cl+,SE 
1,0.048210023,-49.73202077,49.82844081,25.39807693
2,17.1173442,16.93511927,17.29956914,0.092971906
3,-1.904237426,-2.362687058,-1.445787794,0.233902874
