"Variable","Q_0.025","Q_0.5","Q_0.975"
"population size",270.463337484811,370.40503231044,536.638829929311
"females",80.9260379875811,110.829852187376,160.569098719006
"males",189.537299497229,259.575180123064,376.069731210305
"sex ratio",2.34210526315789,2.34210526315789,2.3421052631579
